"Location","Equipment","Name","Type","I/O Type","Min/Max","Locked","GQL Path"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","ZTMP_LO","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/ztmp_lo"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Demand Level","ANI","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/demand_level"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","OA Temp","ANI","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/oat"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Flow Control","BAF","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/air_flow"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Flow Control / Flow Input","BAI","Flow Input","(45/96)","" ,"/#etc_oa_terminal_-_sample_equipment/air_flow/flow_input"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","OAT","BAI","Thermistor","(45.00/96.00)","" ,"/#etc_oa_terminal_-_sample_equipment/oat"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Airflow","BAV","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/flow"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Airflow Setpoint","BAV","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/flow_sp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Damper Position","BAV","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/dmpr_pos"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Run","BBV","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/run"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","schedule","BBV","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/schedule"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","AIRFLW_HI","BALM","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/af_hi"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","AIRFLW_LO","BALM","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/af_lo"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Economizer","ANI","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/econ"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Ext Interlock","BNI","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/m088"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Zone Temp","ANI","" ,"" ,"" ,"/#etc_oa_terminal_-_sample_equipment/m094"

